title,authors,subjects
The Hueys in The new sweater,Jarvis Cocker,"Individuality,Fiction,Sweaters,Juvenile fiction,Pictorial works,Children's fiction,Individuality, fiction,Clothing and dress, fiction,Picture books,Hueys (Fictitious characters : Jeffers),Accessible book,Protected DAISY"
Buttermilk,Stephen Cosgrove,"Rabbits,Picture books,Fiction,Night,Fear,Monsters"
The Story of the Root-Children,Sibylle von Olfers,"Picture books,Nature,Spring,Translations into English,Fiction,Children's stories, German,English poetry,Seasons,Children's fiction,Children, fiction,Fiction, general,Accessible book,Protected DAISY"
Wow Said The Owl,Tim Hopgood,"Owls, fiction,Children's fiction,Day in fiction,Color,Owls in fiction,Fiction,Owls,Night in fiction,Night,Color in fiction,Day,Picture books,Juvenile fiction,Colors,Day, fiction,Night, fiction,Color, fiction,Accessible book,Protected DAISY"
A Child of Books,Sam Winston,"picture books,storytelling,reading,juvenile literature,Books and reading,Imagination,Juvenile fiction,nyt:picture-books=2016-09-25,New York Times bestseller,Children's fiction,Imagination, fiction,Books and reading, fiction,Livres,Romans, nouvelles, etc. pour la jeunesse,Liberté,Fiction,Lecture,Partage,Amitié,Accessible book,Protected DAISY"
How to hide a polar bear & other mammals,Ruth Heller,"Mammals,Juvenile literature,Camouflage (Biology),Protective coloration (Biology),Habits and behavior,Color,picture books,Accessible book,Protected DAISY"
The everything book,Denise Fleming,"Literature,Children's literature,Collections,Juvenile literature,Vocabulary,Literature, collections,Picture books for children,Picture books,Encyclopedias and dictionaries,New York Times reviewed,Accessible book,Protected DAISY"
Paddington Goes to Hospital,R. W. Alley,"Teddy bears,Juvenile fiction,Hospitals,Pictorial works,Children's fiction,Hospitals, fiction,Paddington bear (fictitious character), fiction,Picture books,Bears, fiction,Accessible book,Protected DAISY"
Curious George goes to the hospital,H. A. Rey,"Fiction,Monkeys,Juvenile fiction,Hospitals,Curious George (Fictitious character),Medical fiction,Juvenile Literature,Curiosity,Picture books for children,Monkeys, fiction,Picture books,Children's fiction,Curious george (fictitious character), fiction,Accessible book,Protected DAISY"
Mystery on the Docks,Thacher Hurd,"Rats,Fiction,Mystery and detective stories,Children's fiction,Picture books,Picture books for children,Accessible book,Protected DAISY"
B Is for Bulldozer,June Sobel,"Building,Construction equipment,Alphabet,Fiction,Stories in rhyme,Juvenile fiction,Roller coasters,Construction equipment, fiction,Building, fiction,Alphabet books,Children's fiction,Picture books,Toy and movable books,Accessible book,Protected DAISY"
Randy's dandy lions,Bill Peet,"Circus,Rhyme,English language,Fiction,Stories in rhyme,Lions,Lion,Lion, fiction,Children's fiction,Circus, fiction,Picture books,Picture books for children"
Kermit the Hermit,Bill Peet,"Crabs,Stories in rhyme,Juvenile fiction,Fiction,Children's fiction,Picture books,Crabs, fiction,Accessible book,Protected DAISY"
Baby Booky,Mary Engelbreit,"Juvenile Fiction,Children: Babies Toddlers,Children's fiction,Love, fiction,Family life, fiction,Picture books for children,Picture books,Love,Accessible book,Protected DAISY"
Rainbabies,Laura Krauss Melmed,"Fairy tales,Children's fiction,Infants, fiction,Rain and rainfall, fiction,Moon, fiction,Picture books for children,Picture books,Accessible book,Protected DAISY"
Bunny's Nutshell Library,Robert Kraus,"Children's fiction,Birds, fiction,Spring, fiction,Picture books,Flowers, fiction"
"This is a hospital, not a zoo!",Roberta Karim,"Humorous stories,Animals,Nurses,Medical fiction,Fiction,Hospitals,Children's fiction,Hospitals, fiction,Animals, fiction,Picture books,Wit and humor,Accessible book,Protected DAISY"
Walt Disney's The Many Adventures of Winnie the Pooh,A. A. Milne,"Teddy bears,Juvenile fiction,Toys,Fiction,Birthdays,Friendship,juvenile works,picture books,Juvenile audience,classic juvenile fiction,primary school,Winnie-the-Pooh (Fictitious character),Bears,Short stories,Accessible book,Protected DAISY"
Earl's Too Cool for Me,Leah Komaiko,"Stories in rhyme,Picture books,Children's fiction,Gorilla, fiction,Accessible book,Protected DAISY"
Fang the Dentist (Wacky World of Snarvey Gooper),Mike Thaler,"Dental care,Fiction,Dentists,Picture books,Fear of dentists,Juvenile fiction,Picture books for children,Soins dentaires,Romans, nouvelles, etc. pour la jeunesse,Dentistes,Livres d'images pour enfants,Accessible book,Protected DAISY"
Alma and how she got her name,Juana Martinez-Neal,"JUVENILE FICTION / Social Themes / Self-Esteem & Self-Reliance,JUVENILE FICTION / Family / Multigenerational,JUVENILE FICTION / People & Places / Caribbean & Latin America,Names, Personal -- Fiction,Families -- Fiction,Fiction,Caribbean & Latin America,People & Places,Personal Names,Families,Self-Esteem & Self-Reliance,Family,Juvenile fiction,Multigenerational,Social Themes,Hispanic Americans,Children's fiction,Picture books,Names, personal, fiction,Readers,Familias,Nombres personales,Materiales en espanol,Ficcion juvenil,Spanish language materials,collectionID:caldecotthonor10"
The listening walk,Paul Showers,"Sound,Spanish language materials,Fiction,Fathers and daughters,Juvenile literature,Sound, fiction,Nature study, fiction,Children's fiction,Parent and child, fiction,Picture books,Fathers and daughters, fiction,Senses and sensation, fiction,Accessible book,Protected DAISY"
Geraldine's big snow,Holly Keller,"Fiction,Pigs,Snow,Juvenile fiction,Picture books,Children's fiction,Girls, fiction,Pigs, fiction,Accessible book,Protected DAISY"
Sector 7,David Wiesner,"Fiction,Cows,Drawing,juvenile literature,picture books,wordless book,imagination,Caldecott Honor Book,Juvenile fiction,Empire State Building (New York, N.Y.),Clouds,Stories without words,wordless picture book,Children's fiction,New york (n.y.), fiction,New York Times reviewed,collectionID:caldecotthonor00,Accessible book,Protected DAISY"
Knuffle Bunny,Mo Willems,"Fiction,Juvenile fiction,Self-service laundries,Lost and found possessions,Novela infantil,Stuffed animals (Toys),Fathers and daughters,Laundry,Lost articles,Toys,Spanish language materials,Speech,Habla,Father-daughter relationship,Lavandería,Objetos perdidos,Juguetes,Reading materials,Spanish language,Picture books,Parent and child,Children's fiction,Rabbits, fiction,Humorous stories,collectionID:caldecotthonor00,Accessible book,Protected DAISY"
Sleeping Ugly,Jane Yolen,"Fairy tales,Juvenile fiction,Fairy Tales & Folklore - Single Title,Juvenile Fiction / Humorous Stories,Children's Books/Ages 4-8 Fiction,Children: Grades 2-3,Fairy tales, American,Nastiness in women,Magic,Fairies,Wishing and wishes,Cautionary tales and verse,Nonlooksist children's literature,Kindness in women,Twisted folktales,Picture books,Sleep, fiction,Children's fiction,Accessible book,Protected DAISY"
Amelia Bedelia bakes off,Herman Parish,"Children's fiction,Baking, fiction,Contests, fiction,Humorous stories,Fiction,Contests,Baking,Amelia-bedelia (fictitious character), fiction,Picture books,Amelia-Bedelia (Fictitious character),Juvenile fiction,Accessible book,Protected DAISY"
Paddington and the Christmas surprise,R. W. Alley,"Bears,Department stores,Christmas,Fiction,Paddington Bear (Fictitious character),Shopping,Juvenile fiction,Pictorial works,Children's stories,Christmas stories,Children's fiction,Paddington bear (fictitious character), fiction,Christmas, fiction,Department stores, fiction,Family, fiction,Picture books,Board books,Teddy bears, fiction,Accessible book,Protected DAISY"
"Go Away, Dog",Joan L. Nodset,"Dogs,Fiction,Children's fiction,Dogs, fiction,Picture books,Friendship, fiction,Accessible book,Protected DAISY"
If You Listen,Charlotte Zolotow,"Love,Picture books,Juvenile fiction,Fiction,Love stories,Fathers,Listening,Romance fiction,Families,EASY BOOKS,Children's fiction,Love, fiction,Accessible book,Protected DAISY"
My Car,Byron Barton,"Automobiles,Juvenile fiction,Fiction,Juvenile literature,Children's fiction,Automobiles, fiction,Picture books,Accessible book,Protected DAISY"
Take me out to the ball game,Jack Norworth,"Baseball,Picture books,Toy and movable books,Fiction,Texts,Specimens,Children's songs, English,Preschool Picture Story Books,Sports & Recreation - Baseball,Children: Kindergarten,Juvenile Nonfiction,Children's Books/Ages 4-8 Fiction,Songs and music,Animals - General,Juvenile Fiction / Sports & Recreation / Baseball,Text,Songs,Children's songs,Baseball, fiction,Accessible book,Protected DAISY"
Big Anthony and the Magic Ring,Tomie dePaola,"Juvenile fiction,Magic,Fiction,Children's fiction,Magic, fiction,Witches, fiction,Picture books,Accessible book,Protected DAISY"
Bear Gets Dressed,Harriet Ziefert,"Toy and movable books,Picture puzzles,Bears,Fiction,Clothing and dress,Specimens,Picture books for children,Picture books"
Come and Have Fun,Edith Thacher Hurd,"Picture books,Fiction,Cats,Mice,Juvenile fiction,Public schools,Children's fiction,Primers,Animals, fiction,Accessible book,Protected DAISY"
My first Chanukah,Tomie dePaola,"Juvenile literature,Hanukkah,Board books,On board pages,Picture books,Children's fiction,Hanukkah, fiction,Accessible book,Protected DAISY"
Three Little Kittens,Paul Galdone,"Nursery rhymes,Children's poetry,Poetry,Cats,picture books,Literature and fiction, juvenile,Poetry, juvenile,Accessible book,Protected DAISY"
Sleep out,Carol Carrick,"Camping,Children's stories,Fiction,Night,Self-reliance,Picture books,Sports,Camping, fiction,Accessible book,Protected DAISY"
Big bad bubble,Adam Rubin,"Bubbles,Humorous stories,Monsters,Fear,Juvenile fiction,Fiction,Children's fiction,Fear, fiction,Monsters, fiction,Picture books,Accessible book,Protected DAISY"
Charlie the tramp,Russell Hoban,"Beavers in fiction,Beavers,Picture books,Fiction,Accessible book,Protected DAISY"
My grandmother's clock,Geraldine McCaughrean,"Juvenile fiction,Grandmothers,Fiction,Time,Clocks and watches,Children's fiction,Space and time, fiction,Family, fiction,Picture books,Accessible book,Protected DAISY"
First Hippo on the Moon,Tony Ross,"Child and youth fiction,Children's fiction,Picture books,Hippopotamus,Juvenile fiction,Fiction,Animals,Rockets (Aeronautics),Space flight,Humorous stories,Hippopotamus, fiction,Toy and movable books,Accessible book,Protected DAISY"
Boogie Bear,Eurig Salisbury,"Children's fiction,Picture books"
A Place for Elijah,Kelly Easton Ruben,"Children's fiction,Passover, fiction,Passover,Fiction,Juvenile fiction,Picture books,JUVENILE FICTION / General,Accessible book,Protected DAISY"
Paddiwak and Cosy,Berlie Doherty,"Cats, fiction,Picture books,Children's fiction,Cats,Fiction,Jealousy,Accessible book,Protected DAISY"
Maisy's nature walk,Lucy Cousins,"Picture books,Toy and movable books,Nature,Juvenile fiction,Lift-the-flap books,Fiction,Maisy (Fictitious character : Cousins),Mice,Specimens,Accessible book,Protected DAISY"
Ben over night,Sarah Ellis,"Livres d'images pour enfants,Sleepovers,Juvenile fiction,Résolution de problème,Fiction,Peur,Soirées pyjama,Problem solving,Fear,Picture books for children,Romans, nouvelles, etc. pour la jeunesse,Children's fiction,Sleepovers, fiction,Fear, fiction,Picture books,Accessible book,Protected DAISY"
Further Adventures Of The Owl And The Pussycat,Julia Donaldson,"Stories in rhyme,Cats,Nonsense verses,Theft,Owls,Juvenile fiction,Children's fiction,Cats, fiction,Owls, fiction,Picture books,Adventure and adventurers, fiction,Accessible book,Protected DAISY"
Frog is frightened,Max Velthuijs,"Fiction,Frogs,Fear of the dark,Animals,Ficción juvenil,Sapos,Translations into English,Children's stories, English,Children's stories, German,Translated from German,Miedo de la oscuridad,Picture books for children,picture books,juvenile literature,Juvenile fiction,Miedo,Spanish language materials"
"The little mouse, the red ripe strawberry, and the big hungry bear",Audrey Wood,"Strawberries,Picture books,Mice,Juvenile fiction,Board books,On board pages,Accessible book,Protected DAISY"
One Mole Digging A Hole,Nick Sharratt,"Animals,Fiction,Stories in rhyme,Gardening,Counting,Juvenile fiction,Children's fiction,Counting books,Gardening, fiction,Animals, fiction,Pictorial works,Picture books,Toy and movable books,Accessible book,Protected DAISY"
The Pout-Pout Fish,Deborah Diesen,"Children's fiction,Fishes, fiction,Marine animals, fiction,Friendship, fiction,Stories in rhyme,Easter, fiction,Saint patrick's day, fiction,Schools, fiction,Teachers, fiction,Picture books"
The Ugliest Dog in the World,Bruce Whatley,"Fiction, general,Child and youth fiction,Dogs,Juvenile fiction,Ugliness,Pets,Fiction,Picture books,Australian fiction,Accessible book,Protected DAISY"
Walt Disney's Winnie the Pooh and Tigger Too,A. A. Milne,"Juvenile audience,bears,toys,children's books,animals,tigers,teddy bears,children's stories,Friendship,Fiction,Picture books,Juvenile works,Easy books,Elementary Readers,Juvenile fiction,Tiger,Children's stories,Teddy bears,Toys,Accessible book,Protected DAISY"
"Mango, Abuela, and Me",Meg Medina,"Children's fiction,Picture books"
The Tibetans,Steve Lehman,"Travel,Description and travel,Pictorial works,History,Singers,Opera,Juvenile literature,Biography,Women,Tibet autonomous region (china), social conditions,China, pictorial works,Children's fiction,Singers, fiction,Picture books,Short stories,Accessible book,Protected DAISY"
Amazing Machines,Tony Mitton,"Counting books,Counting, juvenile literature,Toy and movable books,Picture books,Accessible book,Protected DAISY"
Dazzling Diggers,Tony Mitton,"Animals,Excavating machinery,Fiction,Stories in rhyme,Juvenile literature,Pictorial works,Juvenile fiction,Children's fiction,Animals, fiction,Picture books,Accessible book,Protected DAISY"
First Fairy Tales,Jan Lewis,"Children's fiction,Toy and movable books,Fairy tales,Stories in rhyme,Picture books,Sleeping beauty (fictitious character), fiction,Board books,Picture books for children,Accessible book,Protected DAISY"
Dogs,Emily Gravett,"Children's fiction,Dogs, fiction,Picture books,Humorous stories"
The unicorn and the lake,Marianna Mayer,"Snakes,Unicorns,Fiction,fairy tales,folklore,juvenile literature,picture books,Accessible book,Protected DAISY"
"Legend of the Candy Cane Keepsake Book, The",Lori Walburg,"Fiction,Nativity,Christmas,Candy canes,Juvenile fiction,Christmas stories,picture books,juvenile literature,legends,Christian,Children's fiction,Christmas, fiction,Jesus christ, fiction,Accessible book,Protected DAISY"
The Flying Bath,Julia Donaldson,"Children's fiction,Stories in rhyme,Picture books,Baths, fiction,Baths,Juvenile fiction,Bathtubs,Imagination,Accessible book,Protected DAISY"
Good Samaritan,Lois Rock,"Bible stories,Picture books"
